username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-04 13:51:56,1,"#Day35 of #DSN70daysofML

Progress report of 70 days: 50%🤩

Today, we started our first classification algorithm using real dataset from the Titanic. Their was data conversion to numeric  

@DataScienceNIG @AiUnilorin @bayoadekanmbi #MachineLearning #AI","[{'text': 'Day35', 'indices': [15, 21]}, {'text': 'DSN70daysofML', 'indices': [25, 39]}]"
fikkyman1,"Christ! 📢
Tech boy 💻
United ✨✨",Nigeria,417,74,293,2014-09-06 18:56:18,2020-08-04 13:51:42,1,"#Day35 of #DSN70daysofML

Progress report of 70 days: 50%🤩

Today, we started our first classification algorithm using real dataset from the Titanic. Their was data conversion to numeric  

@DataScienceNIG @AiUnilorin @bayoadekanmbi #MachineLearning #AI","[{'text': 'Day35', 'indices': [0, 6]}, {'text': 'DSN70daysofML', 'indices': [10, 24]}, {'text': 'MachineLearning', 'indices': [233, 249]}, {'text': 'AI', 'indices': [250, 253]}]"
Pardoe_AI,"#AI #Influencer, #Advisor & #Investor. Host https://t.co/KgQ8kD7Wn4 Founder of @Informed_AI @Neurons_AI & @Awards_AI #intoAI CEO @Pardoe_VC CAIO @Combined_Intell",Global,7406,15150,185750,2014-07-06 12:41:41,2020-08-04 04:06:06,7,"Day 34 #DSN70DaysOfML. And we've moved to K means cluster algorithm which makes a default of 8 clusters by randomly picking centroids and finding closest points to the centroid. I'm liking this!!😁
@DataScienceNIG
#MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [21, 35]}]"
youngapp_pf,"AI-driven text data extracting APIs for business automation 🙌 🙌
#API #OCR #Machinelearning #AI #Automation","Paris, France",3608,2022,31400,2015-11-29 14:15:48,2020-08-04 00:48:53,7,"Day 34 #DSN70DaysOfML. And we've moved to K means cluster algorithm which makes a default of 8 clusters by randomly picking centroids and finding closest points to the centroid. I'm liking this!!😁
@DataScienceNIG
#MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [21, 35]}]"
o_funminiyi,Embedded Systems | Internet of Things | Artificial Intelligence,,739,559,1684,2019-05-14 10:29:12,2020-08-04 00:12:40,4,"Day[34/70]
Unsupervised Learning...Clustering:
Flat and hierarchical clustering. We focused on k-means algorithm(flat clustering).
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
o_funminiyi,Embedded Systems | Internet of Things | Artificial Intelligence,,739,559,1684,2019-05-14 10:29:12,2020-08-04 00:12:36,7,"Day 34 #DSN70DaysOfML. And we've moved to K means cluster algorithm which makes a default of 8 clusters by randomly picking centroids and finding closest points to the centroid. I'm liking this!!😁
@DataScienceNIG
#MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [21, 35]}]"
SeetaLabs,"Making stuff with algos, tiramisù and crème brûlée lovers, global team focused on #AI applications to solve B2B problems",Italy,1247,768,23367,2019-06-21 10:04:11,2020-08-03 23:29:27,7,"Day 34 #DSN70DaysOfML. And we've moved to K means cluster algorithm which makes a default of 8 clusters by randomly picking centroids and finding closest points to the centroid. I'm liking this!!😁
@DataScienceNIG
#MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [21, 35]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-03 23:29:12,7,"Day 34 #DSN70DaysOfML. And we've moved to K means cluster algorithm which makes a default of 8 clusters by randomly picking centroids and finding closest points to the centroid. I'm liking this!!😁
@DataScienceNIG
#MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [21, 35]}]"
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: https://t.co/UWL6Aa3dbq",,81,584,43312,2018-06-22 10:41:21,2020-08-03 23:29:03,7,"Day 34 #DSN70DaysOfML. And we've moved to K means cluster algorithm which makes a default of 8 clusters by randomly picking centroids and finding closest points to the centroid. I'm liking this!!😁
@DataScienceNIG
#MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [21, 35]}]"
M4Mayowa,"**Civil Engineering**Data Science**Arts**               
               #Jw
'I just wanna perspire to acquire and feel alright'",,126,43,77,2020-06-12 20:54:27,2020-08-03 23:28:56,7,"Day 34 #DSN70DaysOfML. And we've moved to K means cluster algorithm which makes a default of 8 clusters by randomly picking centroids and finding closest points to the centroid. I'm liking this!!😁
@DataScienceNIG
#MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [7, 21]}, {'text': 'MachineLearning', 'indices': [213, 229]}]"
techtrendingnow,"Follow me for update about what trend in tech right now : GPT-3 | AI | BlockChain etc... Like My Work? plz, Buy Me A coffee: https://t.co/UWL6Aa3dbq",,81,584,43312,2018-06-22 10:41:21,2020-08-03 22:27:05,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","[{'text': '100DaysOfCode', 'indices': [16, 30]}, {'text': 'DSN70DaysofML', 'indices': [31, 45]}, {'text': 'MachineLearning', 'indices': [46, 62]}]"
DSNAI_IjebuOde,"@DataScienceNIG AI Community in Ijebu-Ode l AI meetups, trainings for knowledge, research and innovations
Lead: @AkinyigaO 
#1m_AI_talents_in_10_years",Ijebu-Ode,235,111,143,2020-01-16 23:46:43,2020-08-03 22:27:00,10,"#100DaysOfCode
#DSN70DaysofML
#MachineLearning 
@AiPlus_FUTA 
@DSNAI_IjebuOde 

  AI in medical prognosis:
Exploring the medical dataset to plot and view the medical conditions and thier frequencies,and also randomly visualize the training dataset of the images. https://t.co/z3Hc34Pxtq","[{'text': '100DaysOfCode', 'indices': [16, 30]}, {'text': 'DSN70DaysofML', 'indices': [31, 45]}, {'text': 'MachineLearning', 'indices': [46, 62]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-03 21:39:57,4,"Day[34/70]
Unsupervised Learning...Clustering:
Flat and hierarchical clustering. We focused on k-means algorithm(flat clustering).
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
GitLit000,"I retweet #301DaysOfCode, tutorials and more. My creator is @nikkilr88. She built me with #NodeJS and lots of ❤.",Heroku,1,2195,78778,2017-10-21 15:48:44,2020-08-03 21:39:44,4,"Day[34/70]
Unsupervised Learning...Clustering:
Flat and hierarchical clustering. We focused on k-means algorithm(flat clustering).
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning",[]
gold_ochim,...🌇,"Abuja, Nigeria",507,112,227,2018-02-25 19:40:54,2020-08-03 21:39:39,4,"Day[34/70]
Unsupervised Learning...Clustering:
Flat and hierarchical clustering. We focused on k-means algorithm(flat clustering).
#DSN70DaysOfML #Python #CodeNewbie #MachineLearning","[{'text': 'DSN70DaysOfML', 'indices': [131, 145]}, {'text': 'Python', 'indices': [146, 153]}, {'text': 'CodeNewbie', 'indices': [154, 165]}, {'text': 'MachineLearning', 'indices': [166, 182]}]"
Dsn70daysofML,"I am a bot that was created to inspire the next generation of Machine Learning Engineers that are been trained at Data Science Nigeria 
Kindly follow me","Lagos, Nigeria",22,66,506,2020-06-29 07:01:47,2020-08-03 19:49:09,4,"#Day34 of #DSN70daysofML

UNSUPERVISED LEARNING 👐👐. We started unsupervised with clustering today. Clustering can either be K-means or Hierarchical...

@DataScienceNIG @bayoadekanmbi @Dsn70daysofML @AiUnilorin @Asanloko1 @o_funminiyi #MachineLearning","[{'text': 'Day34', 'indices': [15, 21]}, {'text': 'DSN70daysofML', 'indices': [25, 39]}]"
gdprAI,"Official news and insights. Top 10 influencer #gdpr, #privacy, #ai, #dataprotection, #ml, #cybersecurity, #ibm,  #dataprivacy, #ccpa, #infosec, #security, #data","England, United Kingdom",1,2433,107266,2019-07-15 09:19:06,2020-08-03 19:49:01,4,"#Day34 of #DSN70daysofML

UNSUPERVISED LEARNING 👐👐. We started unsupervised with clustering today. Clustering can either be K-means or Hierarchical...

@DataScienceNIG @bayoadekanmbi @Dsn70daysofML @AiUnilorin @Asanloko1 @o_funminiyi #MachineLearning","[{'text': 'Day34', 'indices': [15, 21]}, {'text': 'DSN70daysofML', 'indices': [25, 39]}]"
fikkyman1,"Christ! 📢
Tech boy 💻
United ✨✨",Nigeria,417,74,293,2014-09-06 18:56:18,2020-08-03 19:48:34,4,"#Day34 of #DSN70daysofML

UNSUPERVISED LEARNING 👐👐. We started unsupervised with clustering today. Clustering can either be K-means or Hierarchical...

@DataScienceNIG @bayoadekanmbi @Dsn70daysofML @AiUnilorin @Asanloko1 @o_funminiyi #MachineLearning","[{'text': 'Day34', 'indices': [0, 6]}, {'text': 'DSN70daysofML', 'indices': [10, 24]}, {'text': 'MachineLearning', 'indices': [234, 250]}]"
